
# name, imm,        direct,         indexed,      extended,     inherent,   relative



abx,   0,0,          0x00,0,        0x00,0,         0x00,0,      0x3A,2,    0,0
rti,    0x00,0,       0x00,0,        0x00,0,         0x00,0,      0x3b,0,    0x00,0
rts,    0x00,0,       0x00,0,        0x00,0,         0x00,0,      0x39,0,    0x00,0

andcc,    0x1c,1,       0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x00,0
anda,    0x84,1,       0x94,1,        0xA4,1,         0xB4,2,      0x00,0,    0x00,0
andb,    0xc4,1,       0xd4,1,        0xe4,1,         0xf4,2,      0x00,0,    0x00,0

eora,    0x88,1,       0x98,1,        0xa8,1,         0xb8,2,      0x00,0,    0x00,0
eorb,    0xc8,1,       0xd8,1,        0xe8,1,         0xf8,2,      0x00,0,    0x00,0

rol,    0x00,0,       0x09,1,        0x69,1,         0x79,2,      0x00,0,    0x00,0
rolb,   0x00,0,       0x00,0,        0x0,0,         0x00,0,      0x59,0,    0x00,0
rola,   0x00,0,       0x00,0,        0x0,0,         0x00,0,      0x49,0,    0x00,0

rora,   0x00,0,       0x00,0,        0x0,0,         0x00,0,      0x46,0,    0x00,0
rorb,   0x00,0,       0x00,0,        0x0,0,         0x00,0,      0x56,0,    0x00,0
ror,   0x00,0,       0x06,1,        0x66,1,         0x76,2,      0x00,0,    0x00,0

asra,   0x00,0,       0x00,0,        0x0,0,         0x00,0,      0x47,0,    0x00,0
asrb,   0x00,0,       0x00,0,        0x0,0,         0x00,0,      0x57,0,    0x00,0
asr,   0x00,0,       0x07,1,        0x67,1,         0x77,2,      0x0,0,    0x00,0

asla,   0x00,0,       0x00,0,        0x0,0,         0x00,0,      0x48,0,    0x00,0
aslb,   0x00,0,       0x00,0,        0x0,0,         0x00,0,      0x58,0,    0x00,0
asl,   0x00,0,       0x08,1,        0x68,1,         0x78,2,      0x00,0,    0x00,0

bita,   0x85,1,       0x95,1,        0xa5,1,         0xb5,2,      0x00,0,    0x00,0
bitb,   0xC5,1,       0xD5,1,        0xE5,1,         0xF5,2,      0x00,0,    0x00,0


lsla,   0x00,0,       0x00,0,        0x0,0,         0x00,0,      0x48,0,    0x00,0
lslb,   0x00,0,       0x00,0,        0x0,0,         0x00,0,      0x58,0,    0x00,0
lsl,   0x00,0,       0x08,2,        0x68,0,         0x78,2,      0x00,0,    0x00,0
lsra,   0x00,0,       0x00,0,        0x0,0,         0x00,0,      0x44,0,    0x00,0
lsrb,   0x00,0,       0x00,0,        0x0,0,         0x00,0,      0x54,0,    0x00,0
lsr,   0x00,0,       0x04,1,        0x64,1,         0x74,2,      0x00,0,    0x00,0

sex,   0x00,0,       0x00,0,        0x0,0,         0x00,0,      0x1d,0,    0x00,0

jsr,    0x00,0,       0x9d,1,         0xad,1,      0xbd,2,    0x00,0,       0x00,0
decb,    0x00,0,       0x00,0,        0x00,0,         0x00,0,      0x5a,1,    0x00,0
deca,    0x00,0,       0x00,0,        0x00,0,         0x00,0,      0x4a,1,    0x00,0
dec,    0x00,0,       0x0a,1,        0x6a,1,         0x7a,2,      0x00,0,    0x00,0
nop,    0x00,0,       0x00,0,        0x00,0,         0x00,0,      0x12,1,    0x00,0

XXX,    0x00,0,       0x00,0,        0x00,0,         0x00,0,      0x00,0,    0x00,0


